id,id_compra,id_producto,cantidad,precio_unitario,subtotal
1,1,16,97,1831.93,177697.21
2,1,1,48,371.47,17830.56
3,2,17,27,300.17,8104.59
4,3,3,63,1538.54,96928.02
5,3,1,35,371.47,13001.45
6,3,20,87,607.52,52854.24
7,3,24,100,1375.77,137577.0
8,3,16,58,1831.93,106251.94
9,3,7,91,575.13,52336.83
10,4,28,89,892.29,79413.81
11,5,17,74,300.17,22212.58
12,5,30,10,1509.35,15093.5
13,5,22,27,1110.58,29985.66
14,5,11,18,1870.09,33661.62
15,5,18,66,232.43,15340.38
16,6,1,68,371.47,25259.96
17,7,27,46,211.08,9709.68
18,7,22,27,1110.58,29985.66
19,7,18,87,232.43,20221.41
20,8,28,26,892.29,23199.54
21,8,1,52,371.47,19316.44
22,8,11,13,1870.09,24311.17
23,8,8,73,383.0,27959.0
24,8,13,10,394.37,3943.7
25,8,4,92,1629.2,149886.4
26,9,5,95,709.93,67443.35
27,9,17,10,300.17,3001.7
28,9,19,27,508.7,13734.9
29,9,7,56,575.13,32207.28
30,10,18,12,232.43,2789.16
31,10,12,59,296.72,17506.48
32,10,10,81,969.61,78538.41
33,10,5,36,709.93,25557.48
34,11,17,66,300.17,19811.22
35,11,5,53,709.93,37626.29
36,11,12,27,296.72,8011.44
37,12,5,78,709.93,55374.54
38,13,26,68,457.1,31082.8
39,14,9,30,1337.29,40118.7
40,14,23,25,746.86,18671.5
41,14,3,45,1538.54,69234.3
42,14,25,100,171.95,17195.0
43,15,3,67,1538.54,103082.18
44,16,27,76,211.08,16042.08
45,16,18,85,232.43,19756.55
46,16,4,74,1629.2,120560.8
47,16,1,35,371.47,13001.45
48,16,28,19,892.29,16953.51
49,17,29,73,1870.56,136550.88
50,18,28,47,892.29,41937.63
51,19,30,77,1509.35,116219.95
52,20,6,70,1504.43,105310.1
53,20,12,51,296.72,15132.72
54,20,25,48,171.95,8253.6
55,20,15,40,983.43,39337.2
56,20,19,16,508.7,8139.2
57,20,20,87,607.52,52854.24
58,21,11,48,1870.09,89764.32
59,21,16,56,1831.93,102588.08
60,22,26,48,457.1,21940.8
61,23,13,95,394.37,37465.15
62,23,9,14,1337.29,18722.06
63,23,16,20,1831.93,36638.6
64,23,5,73,709.93,51824.89
65,23,30,18,1509.35,27168.3
66,24,25,63,171.95,10832.85
67,24,12,94,296.72,27891.68
68,24,5,83,709.93,58924.19
69,24,20,95,607.52,57714.4
70,24,26,65,457.1,29711.5
71,24,15,84,983.43,82608.12
72,25,24,34,1375.77,46776.18
73,25,25,89,171.95,15303.55
74,25,3,29,1538.54,44617.66
75,25,28,26,892.29,23199.54
76,25,14,73,416.43,30399.39
77,26,11,77,1870.09,143996.93
78,26,8,60,383.0,22980.0
79,26,13,68,394.37,26817.16
80,26,28,89,892.29,79413.81
81,26,20,22,607.52,13365.44
82,27,30,76,1509.35,114710.6
83,27,2,97,337.94,32780.18
84,28,25,52,171.95,8941.4
85,29,19,52,508.7,26452.4
86,29,25,46,171.95,7909.7
87,29,12,39,296.72,11572.08
88,29,15,15,983.43,14751.45
89,29,5,58,709.93,41175.94
90,29,24,62,1375.77,85297.74
91,30,30,69,1509.35,104145.15
92,30,6,11,1504.43,16548.73
93,31,12,83,296.72,24627.76
94,31,17,33,300.17,9905.61
95,32,12,34,296.72,10088.48
96,32,18,35,232.43,8135.05
97,32,15,60,983.43,59005.8
98,32,16,89,1831.93,163041.77
99,32,7,62,575.13,35658.06
100,33,23,84,746.86,62736.24
101,33,14,13,416.43,5413.59
102,33,19,44,508.7,22382.8
103,33,28,60,892.29,53537.4
104,33,2,100,337.94,33794.0
105,34,27,88,211.08,18575.04
106,34,9,34,1337.29,45467.86
107,34,11,91,1870.09,170178.19
108,34,18,64,232.43,14875.52
109,35,11,49,1870.09,91634.41
110,35,24,55,1375.77,75667.35
111,35,4,75,1629.2,122190.0
112,36,22,29,1110.58,32206.82
113,36,17,51,300.17,15308.67
114,36,27,52,211.08,10976.16
115,36,23,24,746.86,17924.64
116,37,25,62,171.95,10660.9
117,37,22,61,1110.58,67745.38
118,37,4,88,1629.2,143369.6
119,38,25,29,171.95,4986.55
120,38,8,82,383.0,31406.0
121,39,21,52,246.71,12828.92
122,39,8,28,383.0,10724.0
123,40,14,77,416.43,32065.11
124,40,22,19,1110.58,21101.02
125,40,6,48,1504.43,72212.64
126,40,28,82,892.29,73167.78
