id,id_factura,id_producto,cantidad,precio_unitario,descuento,subtotal
1,1,30,1,2817.01,0.0,2817.01
2,1,16,1,2514.84,125.74,2389.1
3,2,2,10,481.16,240.58,4571.02
4,2,26,2,898.53,0.0,1797.06
5,2,30,2,2817.01,0.0,5634.02
6,2,20,1,1123.61,0.0,1123.61
7,2,16,9,2514.84,0.0,22633.56
8,2,27,1,471.11,0.0,471.11
9,2,18,4,352.84,0.0,1411.36
10,2,19,10,762.51,0.0,7625.1
11,3,6,3,3464.2,0.0,10392.6
12,4,3,2,2601.11,260.11,4942.11
13,4,13,4,522.16,208.86,1879.78
14,5,22,10,2362.38,2362.38,21261.42
15,5,4,8,2749.81,0.0,21998.48
16,5,19,8,762.51,610.01,5490.07
17,5,25,9,409.79,0.0,3688.11
18,6,24,5,3209.16,0.0,16045.8
19,6,21,1,448.04,22.4,425.64
20,6,12,1,530.37,0.0,530.37
21,6,30,10,2817.01,0.0,28170.1
22,6,16,6,2514.84,1508.9,13580.14
23,6,26,4,898.53,179.71,3414.41
24,6,20,7,1123.61,0.0,7865.27
25,7,12,3,530.37,159.11,1432.0
26,7,24,9,3209.16,0.0,28882.44
27,7,9,2,2094.56,0.0,4189.12
28,7,22,1,2362.38,0.0,2362.38
29,7,26,9,898.53,0.0,8086.77
30,7,3,10,2601.11,0.0,26011.1
31,7,30,10,2817.01,2817.01,25353.09
32,7,6,6,3464.2,2078.52,18706.68
33,8,4,3,2749.81,824.94,7424.49
34,9,9,5,2094.56,0.0,10472.8
35,9,5,4,1156.42,0.0,4625.68
36,9,20,3,1123.61,0.0,3370.83
37,9,2,6,481.16,0.0,2886.96
38,10,27,8,471.11,188.44,3580.44
39,10,12,4,530.37,0.0,2121.48
40,10,17,7,467.6,0.0,3273.2
41,10,2,1,481.16,0.0,481.16
42,11,16,7,2514.84,0.0,17603.88
43,11,2,8,481.16,0.0,3849.28
44,11,30,9,2817.01,0.0,25353.09
45,11,4,1,2749.81,274.98,2474.83
46,12,24,1,3209.16,0.0,3209.16
47,12,9,4,2094.56,0.0,8378.24
48,12,26,6,898.53,0.0,5391.18
49,12,11,1,3532.31,0.0,3532.31
50,13,21,6,448.04,0.0,2688.24
51,13,1,7,691.87,0.0,4843.09
52,13,10,7,2034.57,0.0,14241.99
53,14,19,2,762.51,0.0,1525.02
54,14,21,5,448.04,112.01,2128.19
55,14,22,3,2362.38,354.36,6732.78
56,14,1,3,691.87,0.0,2075.61
57,15,9,7,2094.56,733.1,13928.82
58,15,6,4,3464.2,1385.68,12471.12
59,15,25,8,409.79,163.92,3114.4
60,15,14,4,816.01,163.2,3100.84
61,15,2,2,481.16,48.12,914.2
62,15,21,3,448.04,134.41,1209.71
63,16,9,2,2094.56,209.46,3979.66
64,16,14,1,816.01,0.0,816.01
65,16,29,1,4598.68,0.0,4598.68
66,17,22,8,2362.38,0.0,18899.04
67,17,27,7,471.11,0.0,3297.77
68,18,14,2,816.01,81.6,1550.42
69,18,6,1,3464.2,0.0,3464.2
70,18,21,4,448.04,0.0,1792.16
71,18,23,7,1216.75,0.0,8517.25
72,18,27,8,471.11,0.0,3768.88
73,18,3,6,2601.11,0.0,15606.66
74,18,29,1,4598.68,0.0,4598.68
75,19,10,1,2034.57,0.0,2034.57
76,19,28,9,2212.31,995.54,18915.25
77,19,20,9,1123.61,0.0,10112.49
78,19,13,6,522.16,313.3,2819.66
79,20,2,9,481.16,0.0,4330.44
80,21,26,6,898.53,0.0,5391.18
81,22,23,6,1216.75,0.0,7300.5
82,22,27,9,471.11,0.0,4239.99
83,22,11,2,3532.31,0.0,7064.62
84,23,1,2,691.87,0.0,1383.74
85,23,15,7,2282.85,0.0,15979.95
86,23,3,10,2601.11,0.0,26011.1
87,23,26,1,898.53,0.0,898.53
88,23,2,8,481.16,0.0,3849.28
89,24,3,5,2601.11,0.0,13005.55
90,24,2,8,481.16,0.0,3849.28
91,24,10,9,2034.57,0.0,18311.13
92,24,13,2,522.16,52.22,992.1
93,24,17,2,467.6,0.0,935.2
94,24,23,3,1216.75,0.0,3650.25
95,24,24,6,3209.16,1925.5,17329.46
96,24,16,8,2514.84,0.0,20118.72
97,25,17,9,467.6,420.84,3787.56
98,25,14,4,816.01,0.0,3264.04
99,25,11,5,3532.31,0.0,17661.55
100,25,1,4,691.87,0.0,2767.48
101,26,6,3,3464.2,1039.26,9353.34
102,26,19,1,762.51,0.0,762.51
103,27,18,2,352.84,35.28,670.4
104,27,13,8,522.16,0.0,4177.28
105,27,1,6,691.87,0.0,4151.22
106,28,4,5,2749.81,0.0,13749.05
107,28,12,8,530.37,0.0,4242.96
108,28,13,4,522.16,104.43,1984.21
109,28,25,4,409.79,0.0,1639.16
110,28,11,3,3532.31,0.0,10596.93
111,29,26,8,898.53,359.41,6828.83
112,29,8,6,708.45,425.07,3825.63
113,29,17,9,467.6,0.0,4208.4
114,30,8,10,708.45,708.45,6376.05
115,30,23,7,1216.75,425.86,8091.39
116,30,25,3,409.79,0.0,1229.37
117,30,10,5,2034.57,0.0,10172.85
118,30,9,6,2094.56,0.0,12567.36
119,30,5,4,1156.42,462.57,4163.11
120,30,30,2,2817.01,0.0,5634.02
121,31,24,8,3209.16,2567.33,23105.95
122,31,1,5,691.87,172.97,3286.38
123,31,22,9,2362.38,0.0,21261.42
124,31,4,2,2749.81,0.0,5499.62
125,31,12,9,530.37,238.67,4534.66
126,31,25,10,409.79,0.0,4097.9
127,32,16,9,2514.84,0.0,22633.56
128,33,3,9,2601.11,0.0,23409.99
129,33,16,4,2514.84,0.0,10059.36
130,33,8,2,708.45,0.0,1416.9
131,33,28,1,2212.31,0.0,2212.31
132,33,1,9,691.87,622.68,5604.15
133,33,30,6,2817.01,845.1,16056.96
134,33,14,9,816.01,0.0,7344.09
135,34,29,3,4598.68,0.0,13796.04
136,35,6,9,3464.2,3117.78,28060.02
137,35,12,2,530.37,0.0,1060.74
138,35,15,3,2282.85,342.43,6506.12
139,35,27,8,471.11,376.89,3391.99
140,35,26,3,898.53,269.56,2426.03
141,35,25,5,409.79,0.0,2048.95
142,36,23,9,1216.75,1095.08,9855.67
143,37,21,8,448.04,179.22,3405.1
144,37,23,10,1216.75,0.0,12167.5
145,37,19,4,762.51,152.5,2897.54
146,37,5,10,1156.42,0.0,11564.2
147,38,24,4,3209.16,0.0,12836.64
148,38,21,4,448.04,0.0,1792.16
149,38,10,9,2034.57,0.0,18311.13
150,38,3,4,2601.11,0.0,10404.44
151,39,20,3,1123.61,0.0,3370.83
152,39,17,7,467.6,0.0,3273.2
153,39,26,6,898.53,0.0,5391.18
154,39,18,7,352.84,0.0,2469.88
155,39,5,7,1156.42,0.0,8094.94
156,39,3,6,2601.11,0.0,15606.66
157,39,23,9,1216.75,0.0,10950.75
158,39,12,5,530.37,0.0,2651.85
159,40,7,1,1009.46,0.0,1009.46
160,40,29,4,4598.68,0.0,18394.72
161,40,27,2,471.11,0.0,942.22
162,40,14,2,816.01,81.6,1550.42
163,40,4,9,2749.81,0.0,24748.29
164,41,29,1,4598.68,459.87,4138.81
165,41,18,4,352.84,70.57,1340.79
166,41,12,10,530.37,0.0,5303.7
167,42,8,9,708.45,0.0,6376.05
168,42,7,6,1009.46,0.0,6056.76
169,42,6,5,3464.2,0.0,17321.0
170,42,26,5,898.53,449.26,4043.39
171,43,12,2,530.37,0.0,1060.74
172,43,27,2,471.11,94.22,848.0
173,43,8,2,708.45,0.0,1416.9
174,43,23,8,1216.75,973.4,8760.6
175,43,30,6,2817.01,0.0,16902.06
176,44,7,7,1009.46,0.0,7066.22
177,45,15,4,2282.85,0.0,9131.4
178,45,8,4,708.45,283.38,2550.42
179,45,1,4,691.87,0.0,2767.48
180,45,2,10,481.16,0.0,4811.6
181,45,5,4,1156.42,0.0,4625.68
182,45,9,5,2094.56,0.0,10472.8
183,46,26,7,898.53,628.97,5660.74
184,46,20,6,1123.61,337.08,6404.58
185,46,19,10,762.51,0.0,7625.1
186,46,27,8,471.11,188.44,3580.44
187,47,3,1,2601.11,130.06,2471.05
188,48,27,1,471.11,23.56,447.55
189,48,8,8,708.45,566.76,5100.84
190,49,3,5,2601.11,650.28,12355.27
191,49,24,2,3209.16,0.0,6418.32
192,49,29,1,4598.68,0.0,4598.68
193,49,28,10,2212.31,0.0,22123.1
194,49,1,6,691.87,207.56,3943.66
195,49,16,4,2514.84,502.97,9556.39
196,49,10,4,2034.57,0.0,8138.28
197,49,12,6,530.37,159.11,3023.11
198,50,12,2,530.37,0.0,1060.74
199,50,21,9,448.04,0.0,4032.36
200,50,28,5,2212.31,0.0,11061.55
201,50,30,4,2817.01,563.4,10704.64
202,50,3,2,2601.11,0.0,5202.22
203,50,7,8,1009.46,0.0,8075.68
204,50,16,4,2514.84,502.97,9556.39
205,51,23,6,1216.75,730.05,6570.45
206,51,5,9,1156.42,0.0,10407.78
207,52,15,8,2282.85,0.0,18262.8
208,52,14,1,816.01,40.8,775.21
209,52,29,4,4598.68,919.74,17474.98
210,52,4,8,2749.81,1099.92,20898.56
211,52,27,5,471.11,0.0,2355.55
212,52,24,4,3209.16,0.0,12836.64
213,52,9,2,2094.56,0.0,4189.12
214,52,26,7,898.53,0.0,6289.71
215,53,29,9,4598.68,0.0,41388.12
216,53,8,4,708.45,283.38,2550.42
217,53,15,9,2282.85,0.0,20545.65
218,53,12,10,530.37,0.0,5303.7
219,53,27,9,471.11,212.0,4027.99
220,53,18,7,352.84,0.0,2469.88
221,53,9,7,2094.56,733.1,13928.82
222,53,20,4,1123.61,0.0,4494.44
223,54,26,9,898.53,0.0,8086.77
224,54,6,1,3464.2,0.0,3464.2
225,54,11,2,3532.31,353.23,6711.39
226,54,13,10,522.16,0.0,5221.6
227,54,2,8,481.16,0.0,3849.28
228,55,11,3,3532.31,1059.69,9537.24
229,55,7,5,1009.46,0.0,5047.3
230,55,2,7,481.16,0.0,3368.12
231,55,9,3,2094.56,0.0,6283.68
232,56,19,6,762.51,228.75,4346.31
233,56,5,4,1156.42,0.0,4625.68
234,56,12,6,530.37,0.0,3182.22
235,56,2,4,481.16,192.46,1732.18
236,56,17,5,467.6,0.0,2338.0
237,56,3,4,2601.11,0.0,10404.44
238,56,11,2,3532.31,0.0,7064.62
239,56,4,3,2749.81,0.0,8249.43
240,57,17,7,467.6,327.32,2945.88
241,57,26,2,898.53,0.0,1797.06
242,57,5,6,1156.42,346.93,6591.59
243,57,23,9,1216.75,0.0,10950.75
244,57,14,7,816.01,0.0,5712.07
245,57,9,6,2094.56,0.0,12567.36
246,57,28,2,2212.31,221.23,4203.39
247,57,15,8,2282.85,0.0,18262.8
248,58,6,2,3464.2,0.0,6928.4
249,58,24,6,3209.16,0.0,19254.96
250,59,28,5,2212.31,0.0,11061.55
251,59,13,1,522.16,26.11,496.05
252,59,15,3,2282.85,0.0,6848.55
253,59,30,6,2817.01,845.1,16056.96
254,60,30,4,2817.01,563.4,10704.64
255,60,28,10,2212.31,1106.15,21016.95
256,60,12,2,530.37,53.04,1007.7
257,60,29,4,4598.68,919.74,17474.98
258,60,5,5,1156.42,0.0,5782.1
259,60,20,7,1123.61,0.0,7865.27
260,61,29,5,4598.68,0.0,22993.4
261,61,10,4,2034.57,0.0,8138.28
262,61,2,7,481.16,0.0,3368.12
263,61,15,3,2282.85,342.43,6506.12
264,61,19,7,762.51,0.0,5337.57
265,61,11,4,3532.31,706.46,13422.78
266,62,1,7,691.87,0.0,4843.09
267,63,26,9,898.53,808.68,7278.09
268,63,11,6,3532.31,2119.39,19074.47
269,63,4,6,2749.81,0.0,16498.86
270,63,10,10,2034.57,2034.57,18311.13
271,63,21,8,448.04,0.0,3584.32
272,63,8,2,708.45,141.69,1275.21
273,63,3,4,2601.11,0.0,10404.44
274,64,6,3,3464.2,519.63,9872.97
275,64,20,8,1123.61,0.0,8988.88
276,64,24,3,3209.16,0.0,9627.48
277,64,26,1,898.53,0.0,898.53
278,64,16,8,2514.84,0.0,20118.72
279,64,2,9,481.16,433.04,3897.4
280,65,13,7,522.16,0.0,3655.12
281,65,5,6,1156.42,693.85,6244.67
282,65,17,6,467.6,280.56,2525.04
283,66,30,8,2817.01,0.0,22536.08
284,66,22,5,2362.38,0.0,11811.9
285,66,9,10,2094.56,0.0,20945.6
286,66,7,2,1009.46,0.0,2018.92
287,66,2,4,481.16,96.23,1828.41
288,66,6,1,3464.2,346.42,3117.78
289,67,25,7,409.79,0.0,2868.53
290,67,28,3,2212.31,0.0,6636.93
291,67,13,8,522.16,208.86,3968.42
292,67,7,8,1009.46,0.0,8075.68
293,67,14,9,816.01,0.0,7344.09
294,68,21,9,448.04,0.0,4032.36
295,68,18,8,352.84,141.14,2681.58
296,68,8,3,708.45,0.0,2125.35
297,68,27,5,471.11,117.78,2237.77
298,68,7,5,1009.46,504.73,4542.57
299,68,11,3,3532.31,529.85,10067.08
300,68,9,4,2094.56,0.0,8378.24
301,68,19,4,762.51,0.0,3050.04
302,69,30,3,2817.01,422.55,8028.48
303,69,18,3,352.84,0.0,1058.52
304,69,15,10,2282.85,0.0,22828.5
305,69,14,7,816.01,285.6,5426.47
306,70,23,6,1216.75,730.05,6570.45
307,70,29,1,4598.68,459.87,4138.81
308,71,1,1,691.87,34.59,657.28
309,71,11,2,3532.31,353.23,6711.39
310,71,5,5,1156.42,0.0,5782.1
311,71,7,2,1009.46,0.0,2018.92
312,71,10,9,2034.57,0.0,18311.13
313,71,25,9,409.79,368.81,3319.3
314,71,26,8,898.53,718.82,6469.42
315,71,22,10,2362.38,0.0,23623.8
316,72,8,9,708.45,0.0,6376.05
317,73,19,4,762.51,0.0,3050.04
318,73,21,5,448.04,0.0,2240.2
319,73,3,4,2601.11,520.22,9884.22
320,73,24,6,3209.16,0.0,19254.96
321,73,10,9,2034.57,0.0,18311.13
322,74,18,1,352.84,35.28,317.56
323,74,21,7,448.04,0.0,3136.28
324,75,13,5,522.16,0.0,2610.8
325,75,27,5,471.11,0.0,2355.55
326,75,18,10,352.84,0.0,3528.4
327,75,2,4,481.16,0.0,1924.64
328,76,27,9,471.11,212.0,4027.99
329,77,24,5,3209.16,1604.58,14441.22
330,77,12,3,530.37,79.56,1511.55
331,77,15,6,2282.85,684.86,13012.24
332,77,6,10,3464.2,0.0,34642.0
333,77,3,8,2601.11,0.0,20808.88
334,77,26,8,898.53,359.41,6828.83
335,77,27,7,471.11,0.0,3297.77
336,77,11,10,3532.31,1766.15,33556.95
337,78,6,10,3464.2,1732.1,32909.9
338,79,28,4,2212.31,0.0,8849.24
339,79,8,3,708.45,0.0,2125.35
340,79,11,2,3532.31,0.0,7064.62
341,80,17,1,467.6,0.0,467.6
342,80,24,9,3209.16,0.0,28882.44
343,80,19,3,762.51,114.38,2173.15
344,80,28,9,2212.31,0.0,19910.79
345,81,20,10,1123.61,561.8,10674.3
346,81,19,1,762.51,76.25,686.26
347,81,5,2,1156.42,0.0,2312.84
348,82,9,5,2094.56,0.0,10472.8
349,82,4,9,2749.81,2474.83,22273.46
350,82,5,5,1156.42,0.0,5782.1
351,82,24,8,3209.16,0.0,25673.28
352,82,15,5,2282.85,0.0,11414.25
353,82,19,5,762.51,190.63,3621.92
354,82,23,8,1216.75,0.0,9734.0
355,82,13,2,522.16,104.43,939.89
356,83,11,6,3532.31,0.0,21193.86
