id,numero_factura,id_cliente,id_empleado,fecha_emision,fecha_vencimiento,subtotal,descuento,impuestos,total,tipo_pago,estado,observaciones
1,FC-00000001,39,15,2024-06-07,2024-07-07,24891.99,1244.6,4965.95,28613.34,Transferencia,Pendiente,
2,FC-00000002,30,2,2024-06-24,2024-07-24,6127.16,0.0,1286.7,7413.86,Efectivo,Pagada,
3,FC-00000003,27,7,2024-02-03,2024-03-04,12163.06,1824.46,2171.11,12509.71,Tarjeta Crédito,Pagada,
4,FC-00000004,38,13,2024-01-06,2024-02-05,25325.94,0.0,5318.45,30644.39,Tarjeta Crédito,Pagada,
5,FC-00000005,39,9,2024-07-05,2024-08-04,18975.51,2846.33,3387.13,19516.31,Transferencia,Cancelada,
6,FC-00000006,46,6,2024-03-19,2024-04-18,11973.48,598.67,2388.71,13763.52,Tarjeta Crédito,Pagada,
7,FC-00000007,16,12,2024-09-24,2024-10-24,36925.85,0.0,7754.43,44680.28,Efectivo,Pendiente,Promoción aplicada
8,FC-00000008,32,12,2024-08-03,2024-09-02,7520.1,752.01,1421.3,8189.39,Tarjeta Crédito,Vencida,
9,FC-00000009,26,5,2024-07-02,2024-08-01,31017.73,0.0,6513.72,37531.45,Tarjeta Crédito,Pagada,Cliente frecuente
10,FC-00000010,19,5,2024-01-06,2024-02-05,12579.64,628.98,2509.64,14460.3,Transferencia,Vencida,Cliente frecuente
11,FC-00000011,21,5,2024-03-20,2024-04-19,19698.02,0.0,4136.58,23834.6,Transferencia,Pendiente,
12,FC-00000012,8,1,2024-02-21,2024-03-22,20101.12,0.0,4221.24,24322.36,Efectivo,Cancelada,Promoción aplicada
13,FC-00000013,45,12,2024-09-27,2024-10-27,23535.01,1176.75,4695.23,27053.49,Tarjeta Crédito,Vencida,Cliente frecuente
14,FC-00000014,30,13,2024-06-02,2024-07-02,30290.9,0.0,6361.09,36651.99,Efectivo,Cancelada,
15,FC-00000015,25,13,2024-08-03,2024-09-02,1462.63,146.26,276.44,1592.81,Tarjeta Crédito,Cancelada,Promoción aplicada
16,FC-00000016,18,10,2024-07-02,2024-08-01,21980.52,0.0,4615.91,26596.43,Transferencia,Pendiente,
17,FC-00000017,12,10,2024-08-10,2024-09-09,38692.63,1934.63,7719.18,44477.18,Transferencia,Cancelada,
18,FC-00000018,38,11,2024-02-04,2024-03-05,35319.9,0.0,7417.18,42737.08,Tarjeta Débito,Cancelada,Cliente frecuente
19,FC-00000019,10,14,2024-09-05,2024-10-05,49319.64,2465.98,9839.27,56692.93,Tarjeta Débito,Vencida,
20,FC-00000020,29,6,2024-06-25,2024-07-25,39677.22,1983.86,7915.61,45608.97,Transferencia,Pendiente,
21,FC-00000021,9,12,2024-04-20,2024-05-20,15331.91,0.0,3219.7,18551.61,Tarjeta Crédito,Pagada,
22,FC-00000022,36,12,2024-04-03,2024-05-03,22816.35,0.0,4791.43,27607.78,Tarjeta Crédito,Vencida,
23,FC-00000023,40,11,2024-10-28,2024-11-27,2123.9,318.58,379.12,2184.44,Tarjeta Débito,Pendiente,
24,FC-00000024,21,4,2024-07-07,2024-08-06,15144.23,1514.42,2862.26,16492.07,Efectivo,Pendiente,
25,FC-00000025,31,9,2024-07-01,2024-07-31,25928.82,2592.88,4900.55,28236.49,Transferencia,Cancelada,Cliente frecuente
26,FC-00000026,4,9,2024-02-20,2024-03-21,29055.51,0.0,6101.66,35157.17,Transferencia,Vencida,Cliente frecuente
27,FC-00000027,36,14,2024-09-19,2024-10-19,49799.1,0.0,10457.81,60256.91,Tarjeta Crédito,Pendiente,Cliente frecuente
28,FC-00000028,10,10,2024-10-28,2024-11-27,22676.92,0.0,4762.15,27439.07,Efectivo,Cancelada,
29,FC-00000029,34,12,2024-04-04,2024-05-04,37014.89,5552.23,6607.16,38069.82,Tarjeta Débito,Pendiente,
30,FC-00000030,20,3,2024-03-14,2024-04-13,42116.88,0.0,8844.54,50961.42,Transferencia,Vencida,
31,FC-00000031,39,3,2024-09-14,2024-10-14,49248.38,0.0,10342.16,59590.54,Tarjeta Crédito,Cancelada,
32,FC-00000032,34,4,2024-01-14,2024-02-13,13514.49,675.72,2696.14,15534.91,Tarjeta Débito,Cancelada,Promoción aplicada
33,FC-00000033,8,4,2024-06-15,2024-07-15,34080.27,0.0,7156.86,41237.13,Efectivo,Pendiente,Promoción aplicada
34,FC-00000034,21,4,2024-09-19,2024-10-19,4710.15,0.0,989.13,5699.28,Tarjeta Crédito,Cancelada,
35,FC-00000035,50,7,2024-03-21,2024-04-20,49401.18,0.0,10374.25,59775.43,Tarjeta Débito,Cancelada,Cliente frecuente
36,FC-00000036,23,5,2024-01-15,2024-02-14,6475.3,323.77,1291.82,7443.35,Transferencia,Vencida,
37,FC-00000037,33,8,2024-09-20,2024-10-20,5662.16,283.11,1129.6,6508.65,Efectivo,Pagada,
