id,codigo_barras,nombre,descripcion,id_categoria,id_proveedor,precio_compra,precio_venta,stock_actual,stock_minimo,unidad_medida,activo
1,7773158371,Producto 1,Descripción del producto 1,1,10,371.47,691.87,30,13,Litro,Sí
2,7722170823,Producto 2,Descripción del producto 2,5,7,337.94,481.16,9,9,Unidad,Sí
3,7736472953,Producto 3,Descripción del producto 3,4,6,1538.54,2601.11,10,11,Unidad,Sí
4,7776647230,Producto 4,Descripción del producto 4,5,6,1629.2,2749.81,30,6,Caja,No
5,7791794533,Producto 5,Descripción del producto 5,1,8,709.93,1156.42,32,15,Litro,No
6,7724120883,Producto 6,Descripción del producto 6,5,7,1504.43,3464.2,34,14,Kg,Sí
7,7760727090,Producto 7,Descripción del producto 7,2,5,575.13,1009.46,44,18,Caja,Sí
8,7722226353,Producto 8,Descripción del producto 8,7,2,383.0,708.45,29,20,Unidad,Sí
9,7736284035,Producto 9,Descripción del producto 9,7,2,1337.29,2094.56,74,11,Unidad,No
10,7712662751,Producto 10,Descripción del producto 10,7,9,969.61,2034.57,19,16,Unidad,Sí
11,7785761469,Producto 11,Descripción del producto 11,6,2,1870.09,3532.31,16,14,Litro,Sí
12,7724012191,Producto 12,Descripción del producto 12,1,2,296.72,530.37,39,9,Kg,No
13,7756294643,Producto 13,Descripción del producto 13,4,5,394.37,522.16,25,19,Kg,Sí
14,7757871026,Producto 14,Descripción del producto 14,3,6,416.43,816.01,48,9,Litro,Sí
15,7778504880,Producto 15,Descripción del producto 15,3,1,983.43,2282.85,83,17,Caja,Sí
16,7729608536,Producto 16,Descripción del producto 16,2,9,1831.93,2514.84,74,9,Caja,Sí
17,7733261780,Producto 17,Descripción del producto 17,1,10,300.17,467.6,100,6,Unidad,Sí
18,7756588538,Producto 18,Descripción del producto 18,6,3,232.43,352.84,60,15,Kg,Sí
19,7776263106,Producto 19,Descripción del producto 19,1,1,508.7,762.51,63,10,Litro,No
20,7731768037,Producto 20,Descripción del producto 20,1,4,607.52,1123.61,30,9,Kg,Sí
21,7720802158,Producto 21,Descripción del producto 21,4,6,246.71,448.04,44,7,Litro,Sí
22,7786860321,Producto 22,Descripción del producto 22,1,6,1110.58,2362.38,63,12,Litro,Sí
23,7766924051,Producto 23,Descripción del producto 23,7,7,746.86,1216.75,24,17,Unidad,Sí
24,7736770454,Producto 24,Descripción del producto 24,6,6,1375.77,3209.16,94,15,Caja,Sí
25,7768998893,Producto 25,Descripción del producto 25,5,6,171.95,409.79,72,16,Unidad,Sí
26,7781350730,Producto 26,Descripción del producto 26,5,9,457.1,898.53,61,20,Kg,Sí
27,7779391484,Producto 27,Descripción del producto 27,5,10,211.08,471.11,79,15,Unidad,Sí
28,7740598447,Producto 28,Descripción del producto 28,4,5,892.29,2212.31,4,7,Kg,Sí
29,7717643237,Producto 29,Descripción del producto 29,2,6,1870.56,4598.68,65,11,Litro,Sí
30,7785677986,Producto 30,Descripción del producto 30,3,2,1509.35,2817.01,30,15,Caja,Sí
